investor_id,average_gap_days,status,total_sip_transactions,average_ticket_size
INV000725,67.66666666666667,at-risk,7,12851.714285714286
INV000734,64.0,at-risk,8,13509.5
INV000737,92.6,at-risk,6,24390.166666666668
INV000747,84.6,at-risk,6,14489.833333333334
INV000750,26.5,active,9,10664.333333333334
INV000751,53.0,at-risk,9,4684.777777777777
INV000754,72.33333333333333,at-risk,7,13945.142857142857
INV000759,83.0,at-risk,7,6291.142857142857
INV000761,75.16666666666667,at-risk,7,16496.285714285714
INV000768,60.0,at-risk,8,10134.375
INV000772,46.0,at-risk,6,14796.5
INV000774,73.66666666666667,at-risk,7,11959.285714285714
INV000776,59.42857142857143,at-risk,8,5053.0
INV000777,66.0,at-risk,6,3491.0
INV000778,59.714285714285715,at-risk,8,12404.625
INV000779,75.0,at-risk,6,2035.8333333333333
INV000783,89.8,at-risk,6,23029.166666666668
INV000785,32.6,active,6,4885.333333333333
INV000786,64.125,at-risk,9,8206.555555555555
INV000789,55.142857142857146,at-risk,8,13835.375
INV000793,69.14285714285714,at-risk,8,13141.125
INV000803,77.16666666666667,at-risk,7,10773.142857142857
INV000814,94.0,at-risk,6,18618.0
INV000822,55.5,at-risk,7,9847.57142857143
INV000823,39.666666666666664,at-risk,7,7056.428571428572
INV000827,58.285714285714285,at-risk,8,5769.875
INV000830,72.2,at-risk,6,12856.833333333334
INV000833,67.28571428571429,at-risk,8,11087.375
INV000836,84.8,at-risk,6,21329.0
INV000843,55.6,at-risk,6,8247.333333333334
INV000844,66.16666666666667,at-risk,7,6949.571428571428
INV000847,47.8,at-risk,6,3461.8333333333335
INV000853,49.333333333333336,at-risk,10,6186.5
INV000854,61.25,at-risk,9,16595.0
INV000858,44.875,at-risk,9,7879.777777777777
INV000862,91.2,at-risk,6,19856.5
INV000864,40.8,at-risk,6,12031.833333333334
INV000865,45.75,at-risk,9,18320.555555555555
INV000869,65.4,at-risk,6,4900.0
INV000873,73.5,at-risk,7,6405.571428571428
INV000874,62.125,at-risk,9,4321.666666666667
INV000877,59.4,at-risk,6,19343.666666666668
INV000881,46.111111111111114,at-risk,10,6143.7
INV000887,65.66666666666667,at-risk,7,16553.85714285714
INV000888,80.33333333333333,at-risk,7,14059.0
INV000893,59.5,at-risk,7,13315.42857142857
INV000894,55.0,at-risk,6,6165.666666666667
INV000901,54.0,at-risk,6,6016.666666666667
INV000907,59.2,at-risk,6,4420.0
INV000920,75.6,at-risk,6,16275.333333333334
INV000926,80.0,at-risk,6,11168.666666666666
INV000929,58.166666666666664,at-risk,7,21448.428571428572
INV000930,32.42857142857143,active,8,11623.625
INV000935,30.875,active,9,16980.444444444445
INV000939,60.57142857142857,at-risk,8,8688.375
INV000942,53.0,at-risk,7,19784.714285714286
INV000949,67.5,at-risk,7,7112.0
INV000950,91.0,at-risk,6,6197.0
INV000971,46.833333333333336,at-risk,7,5562.857142857143
INV000974,73.5,at-risk,7,5717.428571428572
INV000977,48.77777777777778,at-risk,10,12973.5
INV000979,79.8,at-risk,6,23575.0
INV000980,44.42857142857143,at-risk,8,26064.75
INV000981,50.4,at-risk,6,11407.0
INV000986,60.833333333333336,at-risk,7,23769.714285714286
INV000994,63.8,at-risk,6,9302.833333333334
INV001001,60.285714285714285,at-risk,8,8466.375
INV001002,41.666666666666664,at-risk,7,5442.571428571428
INV001005,93.6,at-risk,6,12422.5
INV001008,64.66666666666667,at-risk,7,9032.42857142857
INV001013,96.8,at-risk,6,13639.666666666666
INV001017,67.0,at-risk,6,4641.0
INV001019,44.875,at-risk,9,6953.666666666667
INV001021,68.66666666666667,at-risk,7,7756.428571428572
INV001023,72.42857142857143,at-risk,8,4754.5
INV001025,38.8,at-risk,6,12834.833333333334
INV001026,69.4,at-risk,6,8600.0
INV001037,42.0,at-risk,10,7392.2
INV001039,66.2,at-risk,6,3306.6666666666665
INV001041,83.0,at-risk,7,10374.857142857143
INV001047,66.16666666666667,at-risk,7,7556.285714285715
INV001048,47.0,at-risk,8,4561.375
INV001051,54.142857142857146,at-risk,8,7181.375
INV001053,55.857142857142854,at-risk,8,5767.5
INV001055,93.2,at-risk,6,12851.5
INV001060,53.375,at-risk,9,12632.222222222223
INV001061,51.125,at-risk,9,11088.222222222223
INV001063,43.285714285714285,at-risk,8,3849.375
INV001064,59.5,at-risk,9,16849.777777777777
INV001069,41.285714285714285,at-risk,8,12028.75
INV001070,97.0,at-risk,6,17320.5
INV001092,77.33333333333333,at-risk,7,10804.57142857143
INV001099,26.142857142857142,active,8,16967.375
INV001102,55.333333333333336,at-risk,7,12505.57142857143
INV001115,81.4,at-risk,6,8564.5
INV001116,58.125,at-risk,9,8303.111111111111
INV001117,61.714285714285715,at-risk,8,6735.25
INV001130,76.83333333333333,at-risk,7,19956.428571428572
INV001137,57.0,at-risk,7,5098.714285714285
INV001140,60.4,at-risk,6,6604.666666666667
INV001141,97.6,at-risk,6,5743.333333333333
INV001142,42.833333333333336,at-risk,7,8588.0
INV001156,102.4,at-risk,6,8662.833333333334
INV001160,57.57142857142857,at-risk,8,5630.375
INV001161,80.6,at-risk,6,24377.0
INV001163,67.33333333333333,at-risk,7,4839.571428571428
INV001167,96.2,at-risk,6,13004.0
INV001170,68.2,at-risk,6,11778.833333333334
INV001173,67.0,at-risk,6,9730.333333333334
INV001178,79.66666666666667,at-risk,7,5409.142857142857
INV001180,74.4,at-risk,6,17369.333333333332
INV001181,67.42857142857143,at-risk,8,11402.25
INV001190,97.0,at-risk,6,7624.0
INV001195,53.42857142857143,at-risk,8,15960.875
INV001196,92.2,at-risk,6,10306.666666666666
INV001202,58.0,at-risk,8,6864.875
INV001206,83.6,at-risk,6,12732.5
INV001208,51.833333333333336,at-risk,7,9780.857142857143
INV001210,36.875,at-risk,9,9343.333333333334
INV001217,60.142857142857146,at-risk,8,12382.625
INV001219,50.857142857142854,at-risk,8,11309.125
INV001220,77.16666666666667,at-risk,7,2630.0
INV001223,70.83333333333333,at-risk,7,11657.142857142857
INV001234,60.57142857142857,at-risk,8,11387.875
INV001235,59.0,at-risk,9,13996.222222222223
INV001237,98.0,at-risk,6,11129.666666666666
INV001238,68.5,at-risk,7,6508.571428571428
INV001242,69.8,at-risk,6,4443.0
INV001251,82.0,at-risk,6,23819.833333333332
INV001262,44.833333333333336,at-risk,7,19420.428571428572
INV001274,73.33333333333333,at-risk,7,8087.0
INV001275,66.66666666666667,at-risk,7,7382.285714285715
INV001282,67.0,at-risk,6,8395.666666666666
INV001287,92.2,at-risk,6,12419.833333333334
INV001288,45.666666666666664,at-risk,7,18177.14285714286
INV001291,76.2,at-risk,6,19679.333333333332
INV001295,50.75,at-risk,9,7427.0
INV001298,71.83333333333333,at-risk,7,1880.0
INV001299,51.25,at-risk,9,7545.111111111111
INV001304,97.6,at-risk,6,21267.5
INV001308,54.625,at-risk,9,16138.666666666666
INV001310,81.2,at-risk,6,8143.5
INV001314,50.44444444444444,at-risk,10,19602.8
INV001315,51.833333333333336,at-risk,7,8979.142857142857
INV001316,92.4,at-risk,6,2472.5
INV001317,84.8,at-risk,6,4932.0
INV001318,46.22222222222222,at-risk,10,11266.3
INV001326,69.42857142857143,at-risk,8,12885.25
INV001329,68.2,at-risk,6,10055.166666666666
INV001331,94.2,at-risk,6,5223.833333333333
INV001332,80.0,at-risk,7,8141.714285714285
INV001333,78.66666666666667,at-risk,7,1682.7142857142858
INV001336,65.85714285714286,at-risk,8,11856.5
INV001348,47.833333333333336,at-risk,7,13003.142857142857
INV001351,70.5,at-risk,7,20901.14285714286
INV001355,60.2,at-risk,6,6998.666666666667
INV001356,79.2,at-risk,6,6641.166666666667
INV001359,72.5,at-risk,7,15693.714285714286
INV001361,50.5,at-risk,7,14238.42857142857
INV001367,99.0,at-risk,6,11966.333333333334
INV001375,78.5,at-risk,7,6673.714285714285
INV001376,78.66666666666667,at-risk,7,9437.0
INV001383,56.142857142857146,at-risk,8,10010.0
INV001387,57.25,at-risk,9,12385.555555555555
INV001394,63.57142857142857,at-risk,8,15889.375
INV001400,76.8,at-risk,6,18648.833333333332
INV001401,68.6,at-risk,6,6570.166666666667
INV001406,47.666666666666664,at-risk,10,7149.4
INV001407,45.2,at-risk,6,8245.666666666666
INV001415,68.14285714285714,at-risk,8,6007.875
INV001418,88.6,at-risk,6,4614.666666666667
INV001419,85.8,at-risk,6,11238.0
INV001423,48.57142857142857,at-risk,8,8048.0
INV001428,79.4,at-risk,6,12005.333333333334
INV001432,71.4,at-risk,6,3776.0
INV001434,80.6,at-risk,6,12186.0
INV001442,57.125,at-risk,9,7468.555555555556
INV001454,73.0,at-risk,7,5381.0
INV001455,64.71428571428571,at-risk,8,5889.125
INV001457,43.8,at-risk,6,14324.5
INV001458,59.833333333333336,at-risk,7,11216.857142857143
INV001466,44.6,at-risk,6,17092.5
INV001472,79.0,at-risk,6,19989.5
INV001482,80.6,at-risk,6,14041.666666666666
INV001485,55.0,at-risk,9,12581.111111111111
INV001491,98.8,at-risk,6,6317.333333333333
INV001497,63.0,at-risk,9,8655.777777777777
INV001504,54.25,at-risk,9,14644.888888888889
INV001507,86.2,at-risk,6,4000.6666666666665
INV001510,66.83333333333333,at-risk,7,16169.285714285714
INV001514,51.833333333333336,at-risk,7,21436.571428571428
INV001516,56.8,at-risk,6,17787.833333333332
INV001526,50.4,at-risk,6,7605.333333333333
INV001530,64.66666666666667,at-risk,7,2585.714285714286
INV001532,56.833333333333336,at-risk,7,11822.42857142857
INV001536,69.0,at-risk,7,15443.857142857143
INV001545,92.8,at-risk,6,14331.0
INV001547,72.16666666666667,at-risk,7,10772.142857142857
INV001548,80.6,at-risk,6,11874.0
INV001550,79.0,at-risk,7,12274.857142857143
INV001551,61.8,at-risk,6,3034.1666666666665
INV001562,44.22222222222222,at-risk,10,6655.6
INV001564,55.714285714285715,at-risk,8,9286.0
INV001569,83.4,at-risk,6,14087.5
INV001579,75.0,at-risk,7,19122.14285714286
INV001580,45.666666666666664,at-risk,7,12203.857142857143
INV001585,56.6,at-risk,6,10181.833333333334
INV001587,65.0,at-risk,7,10350.285714285714
INV001597,56.0,at-risk,7,14155.857142857143
INV001599,58.2,at-risk,6,8780.166666666666
INV001602,93.8,at-risk,6,11051.666666666666
INV001603,54.5,at-risk,7,9150.142857142857
INV001605,60.57142857142857,at-risk,8,20236.0
INV001606,67.66666666666667,at-risk,7,13665.142857142857
INV001616,53.0,at-risk,9,17040.11111111111
INV001623,92.0,at-risk,6,10498.833333333334
INV001625,72.0,at-risk,6,2500.0
INV001628,51.714285714285715,at-risk,8,13924.25
INV001629,67.5,at-risk,7,4878.428571428572
INV001631,57.0,at-risk,6,1552.8333333333333
INV001636,48.875,at-risk,9,3992.777777777778
INV001641,88.4,at-risk,6,12854.833333333334
INV001644,65.6,at-risk,6,20627.5
INV001645,67.6,at-risk,6,8047.166666666667
INV001649,51.666666666666664,at-risk,10,11345.8
INV001651,78.66666666666667,at-risk,7,23184.714285714286
INV001653,55.2,at-risk,6,12773.166666666666
INV001654,56.0,at-risk,7,15545.142857142857
INV001656,59.857142857142854,at-risk,8,9754.625
INV001662,60.2,at-risk,6,11240.833333333334
INV001672,34.0,active,9,10059.111111111111
INV001673,49.3,at-risk,11,7431.727272727273
INV001680,58.875,at-risk,9,5223.888888888889
INV001683,72.5,at-risk,7,11441.142857142857
INV001689,83.6,at-risk,6,9970.5
INV001690,81.16666666666667,at-risk,7,8933.142857142857
INV001691,82.0,at-risk,6,6774.666666666667
INV001694,66.14285714285714,at-risk,8,18368.125
INV001697,62.5,at-risk,9,13125.777777777777
INV001699,83.2,at-risk,6,17326.0
INV001709,51.8,at-risk,6,8376.5
INV001711,65.83333333333333,at-risk,7,3770.0
INV001712,66.6,at-risk,6,11045.666666666666
INV001715,68.28571428571429,at-risk,8,12951.625
INV001718,84.0,at-risk,6,25318.166666666668
INV001724,69.66666666666667,at-risk,7,12511.42857142857
INV001728,50.57142857142857,at-risk,8,17874.75
INV001737,56.833333333333336,at-risk,7,14734.42857142857
INV001738,47.5,at-risk,9,17476.444444444445
INV001739,52.5,at-risk,9,12635.666666666666
INV001741,89.4,at-risk,6,15788.166666666666
INV001744,78.5,at-risk,7,12068.42857142857
INV001752,69.33333333333333,at-risk,7,7283.142857142857
INV001753,42.8,at-risk,11,10154.90909090909
INV001757,55.57142857142857,at-risk,8,2015.125
INV001759,49.55555555555556,at-risk,10,10821.5
INV001769,98.0,at-risk,6,4826.166666666667
INV001772,95.0,at-risk,6,18857.666666666668
INV001775,29.142857142857142,active,8,11608.0
INV001777,57.625,at-risk,9,12815.555555555555
INV001778,63.57142857142857,at-risk,8,6840.125
INV001797,79.66666666666667,at-risk,7,6479.285714285715
INV001800,49.666666666666664,at-risk,7,14341.714285714286
INV001802,61.666666666666664,at-risk,7,14196.57142857143
INV001803,59.0,at-risk,6,4939.666666666667
INV001804,55.857142857142854,at-risk,8,12216.75
INV001806,60.0,at-risk,8,12282.5
INV001809,95.6,at-risk,6,11156.166666666666
INV001811,54.25,at-risk,9,26043.333333333332
INV001822,19.8,active,6,7183.833333333333
INV001823,58.142857142857146,at-risk,8,3860.75
INV001826,51.2,at-risk,6,7166.833333333333
INV001828,44.42857142857143,at-risk,8,7160.25
INV001831,72.8,at-risk,6,7961.0
INV001837,62.833333333333336,at-risk,7,10719.142857142857
INV001841,56.2,at-risk,6,8121.5
INV001853,47.42857142857143,at-risk,8,19761.125
INV001858,55.142857142857146,at-risk,8,13899.75
INV001865,63.5,at-risk,7,5355.714285714285
INV001866,58.8,at-risk,6,8723.666666666666
INV001870,76.0,at-risk,7,21588.428571428572
INV001871,55.0,at-risk,7,14958.42857142857
INV001883,99.2,at-risk,6,2790.8333333333335
INV001885,71.2,at-risk,6,2719.0
INV001886,50.75,at-risk,9,8210.888888888889
INV001890,102.6,at-risk,6,1315.0
INV001891,96.4,at-risk,6,3694.8333333333335
INV001909,62.142857142857146,at-risk,8,9714.5
INV001912,86.4,at-risk,6,12097.5
INV001920,39.0,at-risk,7,15915.142857142857
INV001921,68.57142857142857,at-risk,8,11786.75
INV001923,80.66666666666667,at-risk,7,6001.571428571428
INV001924,59.166666666666664,at-risk,7,13699.42857142857
INV001927,58.8,at-risk,6,7121.5
INV001929,66.2,at-risk,6,11247.333333333334
INV001937,60.42857142857143,at-risk,8,6505.375
INV001938,43.0,at-risk,9,5215.0
INV001943,74.4,at-risk,6,10632.0
INV001950,60.166666666666664,at-risk,7,12626.142857142857
INV001951,58.833333333333336,at-risk,7,5691.428571428572
INV001954,86.8,at-risk,6,6360.666666666667
INV001955,76.0,at-risk,6,13351.0
INV001961,83.4,at-risk,6,14541.666666666666
INV001969,79.2,at-risk,6,3763.0
INV001971,54.714285714285715,at-risk,8,12025.875
INV001972,42.42857142857143,at-risk,8,18490.125
INV001978,83.2,at-risk,6,5564.5
INV001979,55.4,at-risk,6,13043.666666666666
INV001982,85.8,at-risk,6,19808.166666666668
INV001986,47.666666666666664,at-risk,7,13367.42857142857
INV001987,67.0,at-risk,7,14521.57142857143
INV001990,45.285714285714285,at-risk,8,7516.625
INV001993,56.6,at-risk,6,7042.166666666667
INV001995,48.6,at-risk,6,12736.333333333334
INV001997,88.6,at-risk,6,3846.3333333333335
INV002001,84.8,at-risk,6,5999.5
INV002006,73.6,at-risk,6,9379.666666666666
INV002010,74.6,at-risk,6,18560.666666666668
INV002017,44.666666666666664,at-risk,7,6871.285714285715
INV002018,63.6,at-risk,6,3798.6666666666665
INV002019,68.8,at-risk,6,8477.666666666666
INV002025,55.833333333333336,at-risk,7,7504.428571428572
INV002033,55.0,at-risk,7,6168.857142857143
INV002034,69.0,at-risk,8,9410.75
INV002037,33.2,active,6,9719.5
INV002038,84.0,at-risk,6,14840.333333333334
INV002051,78.6,at-risk,6,16852.0
INV002052,44.166666666666664,at-risk,7,20547.428571428572
INV002069,47.55555555555556,at-risk,10,8274.6
INV002070,81.33333333333333,at-risk,7,10141.857142857143
INV002083,51.666666666666664,at-risk,10,14275.3
INV002085,65.0,at-risk,6,14839.166666666666
INV002090,90.2,at-risk,6,6395.833333333333
INV002092,33.5,active,7,9051.142857142857
INV002101,80.2,at-risk,6,11856.666666666666
INV002102,44.8,at-risk,6,15130.333333333334
INV002107,71.14285714285714,at-risk,8,12583.375
INV002111,62.42857142857143,at-risk,8,10612.375
INV002119,78.0,at-risk,6,13785.0
INV002121,68.5,at-risk,7,9906.0
INV002122,40.333333333333336,at-risk,7,9555.857142857143
INV002127,60.2,at-risk,6,11070.833333333334
INV002134,82.66666666666667,at-risk,7,4146.857142857143
INV002138,91.8,at-risk,6,3383.0
INV002142,45.5,at-risk,9,13185.444444444445
INV002143,63.57142857142857,at-risk,8,9244.75
INV002149,42.285714285714285,at-risk,8,8878.0
INV002150,73.6,at-risk,6,9530.5
INV002151,60.375,at-risk,9,20587.777777777777
INV002153,67.83333333333333,at-risk,7,4018.714285714286
INV002154,89.4,at-risk,6,7097.833333333333
INV002155,78.0,at-risk,6,4045.0
INV002157,58.5,at-risk,7,9430.0
INV002159,65.0,at-risk,6,9659.5
INV002162,58.375,at-risk,9,19630.444444444445
